sample_id	gene_symbol	entrez_id	log2fc	pvalue	padj	module	module_size	moduleCoverage	moduleCoveragePercetage
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Timp1	id_116510	5.34413261342686	0	0.0000365485686912334	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ndufb10	id_681418	-0.814564193378035	0	0.0000365485686912334	rKIDNEY_28m	82	79	96.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Prdx5	id_113898	-1.3184799931988	0	0.0000366703203747882	rKIDNEY_264	9	9	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Zmat3	id_64394	1.3293960517663	0	0.0000368029947105015	rKIDNEY_160	13	12	92.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Nusap1	id_311336	2.05020249172415	0	0.0000371521307833716	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Zswim7	id_287388	-1.50786101998543	0	0.0000371521307833716	rKIDNEY_37m	74	70	94.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Dnajb2	id_689593	-0.919566351141489	0	0.0000374408897491048	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Eaf2	id_266787	-1.44230725194356	0	0.0000387394078302388	rKIDNEY_331	7	6	85.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Micos10	id_362641	-0.971971294916934	0	0.0000387394078302388	rKIDNEY_28m	82	79	96.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ncapg2	id_362798	2.27584599167251	0	0.000039021756703203	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Itgam	id_25021	3.77638125084267	0	0.0000391991301683812	rKIDNEY_113	16	13	81.2
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Slc17a3	id_266730	-1.73493708539516	0	0.0000391991301683812	rKIDNEY_53	25	19	76
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Itgb2	id_309684	1.6169873503884	0	0.0000391991301683812	rKIDNEY_7m	221	171	77.4
